2021-07-06 05:26:49 status half-installed libsemanage-common:all 2.8-2
2021-07-06 05:26:49 status unpacked libsemanage-common:all 2.8-2
2021-07-06 05:26:49 install libsemanage1:amd64 <none> 2.8-2
2021-07-06 05:26:49 status half-installed libsemanage1:amd64 2.8-2
2021-07-06 05:26:49 status unpacked libsemanage1:amd64 2.8-2
2021-07-06 05:26:49 install libsepol1:amd64 <none> 2.8-1
2021-07-06 05:26:49 status half-installed libsepol1:amd64 2.8-1
2021-07-06 05:26:49 status unpacked libsepol1:amd64 2.8-1
2021-07-06 05:26:49 install libtasn1-6:amd64 <none> 4.13-3
2021-07-06 05:26:49 status half-installed libtasn1-6:amd64 4.13-3
2021-07-06 05:26:49 status unpacked libtasn1-6:amd64 4.13-3
2021-07-06 05:26:49 install libunistring2:amd64 <none> 0.9.10-1
2021-07-06 05:26:49 status half-installed libunistring2:amd64 0.9.10-1
2021-07-06 05:26:49 status unpacked libunistring2:amd64 0.9.10-1
2021-07-06 05:26:49 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2021-07-06 05:26:49 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-07-06 05:26:49 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-07-06 05:26:49 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2021-07-06 05:26:49 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2021-07-06 05:26:49 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2021-07-06 05:26:49 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-07-06 05:26:49 status half-configured mawk:amd64 1.3.3-17+b3
2021-07-06 05:26:49 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-06 05:26:49 status half-installed mawk:amd64 1.3.3-17+b3
2021-07-06 05:26:49 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-06 05:26:49 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-07-06 05:26:49 install libhogweed4:amd64 <none> 3.4.1-1
2021-07-06 05:26:49 status half-installed libhogweed4:amd64 3.4.1-1
2021-07-06 05:26:49 status unpacked libhogweed4:amd64 3.4.1-1
2021-07-06 05:26:49 install libnettle6:amd64 <none> 3.4.1-1
2021-07-06 05:26:49 status half-installed libnettle6:amd64 3.4.1-1
2021-07-06 05:26:49 status unpacked libnettle6:amd64 3.4.1-1
2021-07-06 05:26:49 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2021-07-06 05:26:49 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2021-07-06 05:26:49 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-07-06 05:26:49 install libpam-modules:amd64 <none> 1.3.1-5
2021-07-06 05:26:49 status half-installed libpam-modules:amd64 1.3.1-5
2021-07-06 05:26:50 status unpacked libpam-modules:amd64 1.3.1-5
2021-07-06 05:26:50 install libpam-modules-bin:amd64 <none> 1.3.1-5
2021-07-06 05:26:50 status half-installed libpam-modules-bin:amd64 1.3.1-5
2021-07-06 05:26:50 status unpacked libpam-modules-bin:amd64 1.3.1-5
2021-07-06 05:26:50 install libpam-runtime:all <none> 1.3.1-5
2021-07-06 05:26:50 status half-installed libpam-runtime:all 1.3.1-5
2021-07-06 05:26:50 status unpacked libpam-runtime:all 1.3.1-5
2021-07-06 05:26:50 install libpam0g:amd64 <none> 1.3.1-5
2021-07-06 05:26:50 status half-installed libpam0g:amd64 1.3.1-5
2021-07-06 05:26:50 status unpacked libpam0g:amd64 1.3.1-5
2021-07-06 05:26:50 install libpcre3:amd64 <none> 2:8.39-12
2021-07-06 05:26:50 status half-installed libpcre3:amd64 2:8.39-12
2021-07-06 05:26:50 status unpacked libpcre3:amd64 2:8.39-12
2021-07-06 05:26:50 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-07-06 05:26:50 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-07-06 05:26:50 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-06 05:26:50 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-06 05:26:50 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-06 05:26:50 install sed:amd64 <none> 4.7-1
2021-07-06 05:26:50 status half-installed sed:amd64 4.7-1
2021-07-06 05:26:50 status unpacked sed:amd64 4.7-1
2021-07-06 05:26:50 install login:amd64 <none> 1:4.5-1.1
2021-07-06 05:26:50 status half-installed login:amd64 1:4.5-1.1
2021-07-06 05:26:50 status unpacked login:amd64 1:4.5-1.1
2021-07-06 05:26:50 install passwd:amd64 <none> 1:4.5-1.1
2021-07-06 05:26:50 status half-installed passwd:amd64 1:4.5-1.1
2021-07-06 05:26:51 status unpacked passwd:amd64 1:4.5-1.1
2021-07-06 05:26:51 install libsystemd0:amd64 <none> 241-7~deb10u7
2021-07-06 05:26:51 status half-installed libsystemd0:amd64 241-7~deb10u7
2021-07-06 05:26:51 status unpacked libsystemd0:amd64 241-7~deb10u7
2021-07-06 05:26:51 install libudev1:amd64 <none> 241-7~deb10u7
2021-07-06 05:26:51 status half-installed libudev1:amd64 241-7~deb10u7
2021-07-06 05:26:51 status unpacked libudev1:amd64 241-7~deb10u7
2021-07-06 05:26:51 install sysvinit-utils:amd64 <none> 2.93-8
2021-07-06 05:26:51 status half-installed sysvinit-utils:amd64 2.93-8
2021-07-06 05:26:51 status unpacked sysvinit-utils:amd64 2.93-8
2021-07-06 05:26:51 install tar:amd64 <none> 1.30+dfsg-6
2021-07-06 05:26:51 status half-installed tar:amd64 1.30+dfsg-6
2021-07-06 05:26:51 status unpacked tar:amd64 1.30+dfsg-6
2021-07-06 05:26:51 install tzdata:all <none> 2021a-0+deb10u1
2021-07-06 05:26:51 status half-installed tzdata:all 2021a-0+deb10u1
2021-07-06 05:26:51 status unpacked tzdata:all 2021a-0+deb10u1
2021-07-06 05:26:51 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-07-06 05:26:51 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-07-06 05:26:51 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-07-06 05:26:51 install fdisk:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed fdisk:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked fdisk:amd64 2.33.1-0.1
2021-07-06 05:26:51 install libblkid1:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed libblkid1:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked libblkid1:amd64 2.33.1-0.1
2021-07-06 05:26:51 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked libfdisk1:amd64 2.33.1-0.1
